,baseMean,log2FoldChange,pvalue,padj
FBgn0087013,2426.541477687558,0.027393966192742425,0.817837891776826,0.9425582852024948
FBgn0037265,146.0074595002469,-0.6923480246763324,0.29620044777738974,0.8625172805091849
FBgn0263346,372.56822053973497,-0.6510817138195999,0.10485869743771851,0.8625172805091849
FBgn0265039,18.168442815931318,-0.3762613520066712,0.7446295946166887,0.9184119488972456
FBgn0037270,8206.643148619281,0.05858017216467995,0.5180008117660996,0.8676867905448156
FBgn0027570,18.6231283978734,-1.1043465921012576,0.03549029318384874,0.8625172805091849
FBgn0026620,2032.411446748506,-0.018736702834065654,0.9372019629776399,0.9802715252823696
FBgn0010750,2810.9094736166157,-0.15347195616370685,0.2416217748299566,0.8625172805091849
FBgn0037275,20.770851847288892,-0.7199027995992178,0.39441535790516014,0.8625172805091849
FBgn0260794,2357.002234487113,-0.10735948862658219,0.563812390747149,0.8738516574487992
FBgn0026417,1019.1947874534659,0.151565680712316,0.022630626348762912,0.8625172805091849
FBgn0037279,405.80628014590485,-0.285423828227936,0.4887705609456382,0.8659069196660111
FBgn0037280,3.400861573719905,-0.8147877928370832,0.6317567013677703,0.8870606260351085
FBgn0037282,3185.5030874772033,-0.17125918800356554,0.14028737116865975,0.8625172805091849
FBgn0003002,8.46234844317638,-0.9998371982063463,0.31170264722992386,0.8625172805091849
FBgn0004913,1475.1495473764462,0.09128986607431548,0.7828248690741156,0.9280285581718548
FBgn0265082,120.88384188186525,-2.4385219430356933,0.09399531744304046,0.8625172805091849
FBgn0266698,8.108294655718604,-1.403577949737879,0.3159927674935215,0.8625172805091849
FBgn0004183,28.3271668838744,1.2394832521600163,0.34842942524359244,0.8625172805091849
FBgn0004436,8548.513459508427,0.1732042447728019,0.24634929326453364,0.8625172805091849
FBgn0250839,3.982600556678832,-1.9578463566855566,0.4172782575346963,0.8625172805091849
FBgn0037290,8.194838722693174,0.29248375451776976,0.8028188686073287,0.9378239819771561
FBgn0010313,3420.338438074732,-0.15133218817340263,0.1452635413364497,0.8625172805091849
FBgn0262605,9.500168749729012,-0.22944178285969868,0.8826768502436305,0.9637919361742655
FBgn0037293,891.7139154676984,-0.6007071849712575,0.41897476982210696,0.8625172805091849
FBgn0037295,6.803781078866813,0.18754523612956822,0.5245484319583503,0.8676867905448156
