,baseMean,log2FoldChange,pvalue,padj
FBgn0263118,4.3344444760786525,-3.2733501197637733,0.1732968424909232,0.8625172805091849
FBgn0039448,11.885743447651294,2.1780684105596695,0.4615262939009059,0.8650418953258558
FBgn0085391,16.65930981179199,2.0341253631211926,0.48654341270048496,0.8659069196660111
FBgn0085465,4.160144111452904,3.220374569828846,0.3739009663000589,0.8625172805091849
FBgn0053203,5.8338616505591965,-2.2407980309066167,0.15765989487169993,0.8625172805091849
FBgn0039694,7.381792289800569,-3.9785237303913576,0.373900966300059,0.8625172805091849
FBgn0039774,14.746980353233631,-3.3004603324849806,0.13778835201352022,0.8625172805091849
FBgn0039795,8.226272907223914,-2.1325281760501134,0.3193230899949457,0.8625172805091849
FBgn0039804,28.474023356357296,-2.2635581092483656,0.20238498245399048,0.8625172805091849
FBgn0039805,23.90219604214448,-5.608939081878286,0.32188417298246275,0.8625172805091849
FBgn0039818,4.680162125384516,3.3729972511604815,0.373900966300059,0.8625172805091849
FBgn0051002,6.68388471904603,-3.4331761610205693,0.3676258250493197,0.8625172805091849
FBgn0039862,20.49884436109887,-2.1585458267846804,0.014443376291606878,0.8625172805091849
FBgn0039873,4.021924716790589,-3.1769369735982926,0.3739009663000589,0.8625172805091849
FBgn0035179,12.150024944928676,-2.4208984396152236,0.3048875718753608,0.8625172805091849
FBgn0053971,5.289182195275825,-2.6843839757096077,0.4061291415131283,0.8625172805091849
FBgn0035344,4.01060439990168,-3.1733207608240397,0.26219864445716057,0.8625172805091849
FBgn0054025,19.275763725353524,-5.305661506475648,0.373900966300059,0.8625172805091849
FBgn0001254,122.23098452546274,-7.55665605808181,0.3021789125009761,0.8625172805091849
FBgn0035468,7.048458347851269,-2.4358655688954505,0.00560228227562134,0.8537352974083582
FBgn0004880,14.110640706047553,-2.1069264604316817,0.026685963866776085,0.8625172805091849
FBgn0045479,31.808286792739192,-2.023373610351289,0.2614319083486521,0.8625172805091849
FBgn0003710,30.65433976269786,-3.8782413422874686,0.00014902178043108106,0.36335235613608335
FBgn0014073,4.715088813984663,2.2374414391949666,0.24908195082994936,0.8625172805091849
FBgn0035557,10.017927745088555,4.394778585983802,0.19085193454111424,0.8625172805091849
FBgn0052407,3.26926445536297,-2.4743405802247533,0.3245403041556336,0.8625172805091849
FBgn0053993,14.551473255143037,-3.8325126516575696,0.26160107730849785,0.8625172805091849
FBgn0263973,7.113898886278108,-3.928635410820353,0.13163480482158296,0.8625172805091849
FBgn0035709,58.1503216938979,-2.414894101827199,0.20098822080108653,0.8625172805091849
FBgn0035710,102.12585085077824,-2.7785008197133383,0.1691098272192082,0.8625172805091849
FBgn0053556,24.46695520188878,-2.1172782917847015,0.41071912493493634,0.8625172805091849
FBgn0035751,30.82448218992711,-2.510267622041354,0.1090876369181755,0.8625172805091849
FBgn0035798,19.33334351537348,-2.381735610800388,0.25528408794203156,0.8625172805091849
FBgn0035813,3.7729160592314024,-3.095220975778659,0.373900966300059,0.8625172805091849
FBgn0035934,6.441067933702024,-3.048955253169406,0.01807350577407284,0.8625172805091849
FBgn0035952,4.982945272388388,2.3245299043889114,0.02545165630407622,0.8625172805091849
FBgn0001229,41.83425736952671,-2.764967905880047,0.09148845612463595,0.8625172805091849
FBgn0261555,5.139861604642879,3.4956597610735165,0.13291805749740604,0.8625172805091849
FBgn0036040,7.353464640627,-2.469353092234347,0.20319852259891003,0.8625172805091849
FBgn0052053,55.43293896768398,-6.420801390374693,0.3100323612601109,0.8625172805091849
