,log2FoldChange
FBgn0051019,0.5270662704495149
FBgn0041241,0.526860635196614
FBgn0029879,0.526394638394453
FBgn0267183,0.5261333969917771
FBgn0086680,0.5260567980848381
FBgn0040005,0.5257279868928498
FBgn0037101,0.5257071310305582
FBgn0058182,0.5248078501882758
FBgn0036414,0.5244926064752145
FBgn0051121,0.5242512596875349
FBgn0052373,0.524181035883355
FBgn0039055,0.5233916811488001
FBgn0030189,0.5223375960689276
FBgn0262782,0.5205424181631506
FBgn0265413,0.5205075808046721
FBgn0085414,0.5179290188236952
FBgn0086350,0.5178070151633619
FBgn0029710,0.5177562889413984
FBgn0264310,0.5175777230183431
FBgn0035092,0.5167782660925316
FBgn0015765,0.5164546457231515
FBgn0028379,0.5156343608084597
FBgn0033993,0.515563434524969
FBgn0028916,0.5148770242454769
FBgn0031213,0.5144585928852807
FBgn0004185,0.5140447287757494
FBgn0028940,0.5140440170956929
FBgn0263112,0.5131796933443488
FBgn0032782,0.5130121787429565
FBgn0034313,0.5127156043876632
FBgn0037788,0.5122054761797332
FBgn0038627,0.5112517939739625
FBgn0260399,0.5111060978823986
FBgn0030027,0.510254031975866
FBgn0029898,0.5100935844703138
FBgn0003268,0.507526129039209
FBgn0010223,0.5072245053934965
FBgn0266258,0.5071036860496436
FBgn0038144,0.5069779213430865
FBgn0052755,0.5057521409965737
FBgn0029645,0.505438098232135
FBgn0035076,0.5047619374280526
FBgn0030805,0.5045156539673988
FBgn0037016,0.5033244671522227
FBgn0086669,0.5031174115187761
FBgn0035103,0.5020727874925205
FBgn0014031,0.5013983934721181
FBgn0000533,0.49995398197823554
FBgn0033524,0.499460869312658
FBgn0259735,0.49942654761001365
FBgn0036627,0.49936831269358617
FBgn0031126,0.49924660469067544
FBgn0031821,0.4978186336388852
FBgn0030740,0.49700678959796324
FBgn0264494,0.4965024906944173
FBgn0035398,0.49591795735661176
FBgn0039994,0.495863736284082
FBgn0034032,0.4955510344661969
FBgn0266621,0.49524839755937494
FBgn0259245,0.49459980678431265
FBgn0002899,0.49454461508736297
FBgn0038098,0.4944281700854491
FBgn0034145,0.4935691224999311
FBgn0033928,0.49304815298999494
FBgn0034327,0.4916459071478773
FBgn0265979,0.4916459071478773
FBgn0267067,0.4912234948777878
FBgn0031534,0.4908683920409693
FBgn0065048,0.4906658730623325
FBgn0003301,0.48988248054988903
FBgn0039641,0.48921790429255485
FBgn0031866,0.48901777004060154
FBgn0029890,0.4889452168653886
FBgn0000008,0.48862731198560405
FBgn0261808,0.48861846472753717
FBgn0261553,0.48777617320765987
FBgn0267428,0.4874593566369322
FBgn0261461,0.48701736996511036
FBgn0266650,0.4867351805761988
FBgn0031208,0.4861319215839779
FBgn0261987,0.48590493290322934
FBgn0030817,0.4854903473226948
FBgn0033864,0.4854247243321176
FBgn0038575,0.48528676799475473
FBgn0032208,0.48526432651165513
FBgn0037541,0.48519160696223534
FBgn0040347,0.4848835374453665
FBgn0028375,0.48476463928026114
FBgn0052364,0.4846429284308966
FBgn0286809,0.4838798389515527
FBgn0039025,0.4833263262835806
FBgn0265597,0.4829606194898079
FBgn0085612,0.4824575435569519
FBgn0004507,0.4818502380513039
FBgn0032453,0.48075977520139074
FBgn0035844,0.4798493384871191
FBgn0243516,0.4796277397951253
FBgn0038095,0.4795884564942826
FBgn0033631,0.47908982767892405
FBgn0040352,0.47837554600630133
FBgn0029092,0.47804975510657033
FBgn0035907,0.4776438300466386
FBgn0037107,0.4772976027303858
FBgn0264324,0.4771046640831802
FBgn0029507,0.47702245952660227
FBgn0036463,0.4765303717205975
FBgn0028434,0.4764747125723222
FBgn0029854,0.47598242293880194
FBgn0019686,0.47544509069002455
FBgn0001120,0.47542803929860944
FBgn0002985,0.47538997581437353
FBgn0051898,0.475094876817951
FBgn0035309,0.47369505825078384
FBgn0035154,0.4730239560553512
FBgn0063495,0.47301813721209746
FBgn0033645,0.4722295843621702
FBgn0032913,0.47116384993589927
FBgn0267347,0.47036741807361643
FBgn0086661,0.47020499280868977
FBgn0027660,0.470104638756081
FBgn0266569,0.4700811247967596
FBgn0266549,0.4700227747680438
FBgn0017448,0.46997915305386234
FBgn0051386,0.46960403758706076
FBgn0042135,0.4685275014082258
FBgn0058006,0.46826869057798054
FBgn0259166,0.4675741098049977
FBgn0052311,0.46756015316943345
FBgn0266630,0.4671968713934436
FBgn0260632,0.46705655128738166
FBgn0027376,0.46705451696566636
FBgn0030884,0.46553252240461734
FBgn0265985,0.4651513866969327
FBgn0029685,0.46504269620721606
FBgn0003292,0.46499954701843155
FBgn0262473,0.4649706031131434
FBgn0022985,0.46439118176026906
FBgn0031351,0.4638476254896299
FBgn0030519,0.463208299495669
FBgn0041721,0.46205427928729637
FBgn0029924,0.4618377757833964
FBgn0030869,0.46151593406902325
FBgn0031844,0.4611454048030904
FBgn0036336,0.46107577852356374
FBgn0040207,0.4605712960017145
FBgn0004598,0.45887322381661616
FBgn0033052,0.4572273470383518
FBgn0027500,0.45702274273777255
FBgn0267704,0.45627415997833054
FBgn0263660,0.4562290955552432
FBgn0003733,0.4561626122830314
FBgn0031498,0.45568708622785975
FBgn0033656,0.45499785794307623
FBgn0263598,0.4547767184818312
FBgn0038251,0.4546547570356029
FBgn0016974,0.45360888432224333
FBgn0034629,0.4516329601843698
FBgn0027794,0.451600655310227
FBgn0266674,0.4499724108396999
FBgn0033538,0.44953406249386696
FBgn0032835,0.44895498670935857
FBgn0267086,0.44713860058046573
FBgn0010316,0.4468867998237341
FBgn0260446,0.4468486590465907
FBgn0034689,0.4462115986659565
FBgn0000411,0.44587887176371543
FBgn0026393,0.4458007202392898
FBgn0036043,0.44498665094243756
FBgn0027363,0.444957199271237
FBgn0260049,0.44460958491761104
FBgn0031449,0.4443222254552267
FBgn0087040,0.44402433420549114
FBgn0052813,0.443988622544887
FBgn0085644,0.4438200185684275
FBgn0036165,0.4432978870196378
FBgn0036459,0.44270888797022706
FBgn0027547,0.4422730330602901
FBgn0035431,0.44224190001471964
FBgn0028743,0.4417975088476355
FBgn0014427,0.44058839173147457
FBgn0037999,0.44021553639012506
FBgn0029944,0.4398743334234407
FBgn0029753,0.43985681004259586
FBgn0033982,0.4396597755137238
FBgn0043001,0.4395348649996268
FBgn0261397,0.43918665486586017
FBgn0024997,0.4388706591867321
FBgn0030100,0.4383369198079047
FBgn0261625,0.4382880913186658
FBgn0040056,0.43801036652985725
FBgn0030065,0.4375567280887455
FBgn0267366,0.43708772268142126
FBgn0086711,0.4365762898003233
FBgn0027552,0.4360826778564954
FBgn0037225,0.43564088271654816
FBgn0050377,0.4352542324403157
FBgn0033121,0.4351946126804872
FBgn0033234,0.4349841748605934
FBgn0033995,0.4346997846959962
FBgn0262728,0.4345757451302555
FBgn0029093,0.43431192095727633
FBgn0033096,0.43392127998102664
FBgn0036836,0.433599969441386
FBgn0011656,0.4334000557592256
FBgn0034262,0.4333767807153538
FBgn0013696,0.4331323052043054
FBgn0260475,0.43291834366665494
FBgn0033652,0.4329080407973185
FBgn0011826,0.4321533230049915
FBgn0263979,0.4317086178934871
FBgn0003567,0.4316014632969175
FBgn0030815,0.43139787571575117
FBgn0250848,0.4312425960883822
FBgn0005322,0.4307187796766983
FBgn0000351,0.43066600421718215
FBgn0031779,0.4300811242588006
FBgn0033412,0.4298542639016245
FBgn0265191,0.42934715913819915
FBgn0032876,0.42896764063849147
FBgn0051495,0.4289411109836732
FBgn0037756,0.42784973447403923
FBgn0039958,0.42777681207195245
FBgn0000183,0.42747666391813566
FBgn0030607,0.4274212873267838
FBgn0039431,0.4265510697792106
FBgn0051321,0.4256524767251944
FBgn0030598,0.42552104741250624
FBgn0266814,0.4254077812662291
FBgn0027654,0.4247930923671757
FBgn0035880,0.4236923196236546
FBgn0051633,0.4235179073723441
FBgn0012034,0.4231556643242876
FBgn0002567,0.42259662909228923
FBgn0000721,0.4220421589522447
FBgn0000562,0.42168471612989583
FBgn0024179,0.42119023357039914
FBgn0052056,0.4207479845599118
FBgn0035151,0.4206380182537382
FBgn0039855,0.4202846440982417
FBgn0040236,0.41961215676339564
FBgn0043021,0.4188209916437321
FBgn0022935,0.41862059243775007
FBgn0035960,0.4186030455773799
FBgn0026199,0.4181894078917455
FBgn0033374,0.4165304316995717
FBgn0250869,0.41605483654640335
FBgn0038651,0.415415964173038
FBgn0019985,0.4153557863460341
FBgn0035727,0.4151354110249204
FBgn0020445,0.4151177251779886
FBgn0036908,0.414925129355866
FBgn0052365,0.414564990371066
FBgn0038286,0.41412515108272635
FBgn0024732,0.4140377151190327
FBgn0033879,0.41387542186789184
FBgn0004797,0.41354666902418463
FBgn0034095,0.4132769634448045
FBgn0031820,0.41294454621685744
FBgn0036887,0.41276248426107376
FBgn0264746,0.4119551322060308
FBgn0264253,0.4118369036731819
FBgn0033781,0.41099441090194494
FBgn0036843,0.41092414699323304
FBgn0010235,0.4105458683127009
FBgn0016070,0.41039484651138464
FBgn0036332,0.4095336996831293
FBgn0035993,0.40925144905687466
FBgn0036727,0.4074346877000263
FBgn0010350,0.40717888993129236
FBgn0052076,0.4064800332219877
FBgn0038243,0.40631591411396856
FBgn0054007,0.4059752727222088
FBgn0037703,0.40587806282429706
FBgn0030462,0.40570692601272856
FBgn0038405,0.40566822160858534
FBgn0039754,0.40543566741361253
FBgn0038980,0.40532929891776787
FBgn0286040,0.40524035786742635
FBgn0035440,0.4051177612250824
FBgn0037609,0.40491022385731784
FBgn0027512,0.40490833601689163
